Название вакансии,Название компании,Зарплата,Ссылка
Программист,ООО Паритет,"от 80 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119734470?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО ПО Дион,"от 100 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119959212?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист,Evaxsoft,"80 000 – 160 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119981992?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист,ИСЭ СО РАН,"60 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119742143?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист приложений прикладного ПО,"Интегра, Группа компаний","от 80 000 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/119529620?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажёр-программист PHP,Консорциум Кодекс,Не указана,https://tomsk.hh.ru/vacancy/119079689?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++,ООО СИНЕКТА,Не указана,https://tomsk.hh.ru/vacancy/119459756?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ОГКУ СМЭУ ТО,"45 000 ₽ за месяц, на руки",https://tomsk.hh.ru/vacancy/119467257?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Дента Люкс,Не указана,https://tomsk.hh.ru/vacancy/117655671?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик,ИП Курочкин Владимир Александрович,"60 000 – 120 000 ₽ за месяц, до вычета налогов",https://tomsk.hh.ru/vacancy/118948403?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
